Linux 5.11.0-36-generic (pwmoose-PowerEdge-T640) 	2021年09月26日 	_x86_64_	(40 CPU)

11时37分52秒 kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
11时40分55秒 251110504 256073140   5371280      2.04     83820   6441784   9949012      3.74   3155032   8097380        32
11时40分56秒 251111764 256074344   5370056      2.04     83820   6441748   9949016      3.74   3154968   8097460       176
11时40分57秒 251109268 256071840   5372576      2.04     83820   6441748   9949036      3.74   3154976   8097488       180
11时40分58秒 251108740 256071328   5372980      2.04     83828   6441848   9949272      3.74   3154968   8097784        52
11时40分59秒 251110008 256072596   5371620      2.04     83828   6441936   9949272      3.74   3154984   8097732        52
11时41分00秒 251108504 256071092   5373060      2.04     83828   6441996   9949328      3.74   3154968   8097852        52
11时41分01秒 251109764 256072352   5371776      2.04     83828   6442036   9949328      3.74   3154984   8097880        56
11时41分02秒 251108496 256071088   5373036      2.04     83828   6442036   9949352      3.74   3154976   8097928         8
11时41分03秒 251108472 256071072   5373016      2.04     83836   6442056   9949372      3.74   3154988   8097932        32
11时41分04秒 251107212 256069812   5374248      2.04     83836   6442076   9949376      3.74   3154984   8097964        32
11时41分05秒 251106692 256069272   5374780      2.04     83836   6442064   9949384      3.74   3154972   8097988        44
11时41分06秒 251105188 256067768   5376196      2.04     83836   6442152   9949588      3.74   3154968   8098080        44
11时41分07秒 251105432 256068016   5375804      2.04     83836   6442300   9949692      3.74   3154976   8098296         0
11时41分08秒 251104920 256067520   5376240      2.04     83844   6442352   9949692      3.74   3154972   8097944        56
11时41分09秒 251104676 256067276   5376480      2.04     83844   6442356   9949700      3.74   3154984   8098040        56
11时41分10秒 251107188 256069788   5373960      2.04     83844   6442356   9949704      3.74   3154976   8098064        56
11时41分11秒 251107692 256070292   5373444      2.04     83844   6442368   9949716      3.74   3154984   8098048        56
11时41分12秒 251108952 256071552   5372168      2.04     83844   6442384   9949732      3.74   3154968   8098092        60
11时41分13秒 251107684 256070296   5373428      2.04     83852   6442384   9949736      3.74   3154980   8098096         4
11时41分14秒 251106188 256068792   5374932      2.04     83852   6442384   9949744      3.74   3154984   8098100        20
11时41分15秒 251107952 256070556   5373168      2.04     83852   6442384   9949888      3.74   3154992   8098112        20
11时41分16秒 251108416 256071024   5372348      2.04     83852   6442716   9950096      3.75   3154980   8098616        20
11时41分17秒 251109888 256072496   5370868      2.04     83852   6442716   9950104      3.75   3154992   8098144        20
11时41分18秒 251109376 256071996   5371356      2.04     83860   6442724   9950116      3.75   3154988   8098228         4
11时41分19秒 251109636 256072252   5371100      2.04     83860   6442728   9950124      3.75   3154996   8098492         8
11时41分20秒 251111392 256074012   5369320      2.04     83860   6442736   9950140      3.75   3154992   8098504         8
11时41分21秒 251109384 256072004   5371320      2.04     83860   6442752   9950144      3.75   3155000   8098520         8
11时41分22秒 251109368 256071988   5371324      2.04     83860   6442756   9950152      3.75   3154992   8098532         8
11时41分23秒 251110628 256073256   5370044      2.04     83868   6442760   9950156      3.75   3155004   8098532         8
11时41分24秒 251110092 256072720   5370548      2.04     83868   6442760   9950180      3.75   3155000   8098560        20
11时41分25秒 251110328 256072956   5370088      2.04     83868   6442992   9950500      3.75   3155008   8098608        20
11时41分26秒 251111212 256073840   5369236      2.04     83868   6443064   9950504      3.75   3154988   8098656        20
11时41分27秒 251109952 256072580   5370468      2.04     83868   6443092   9950512      3.75   3155008   8098644        24
11时41分28秒 251109896 256072536   5370516      2.04     83876   6443092   9950516      3.75   3155004   8098680         4
11时41分29秒 251111220 256073864   5369184      2.04     83876   6443100   9950524      3.75   3155016   8098928         8
11时41分30秒 251108700 256071344   5371704      2.04     83876   6443100   9950524      3.75   3155008   8098944         8
11时41分31秒 251107700 256070340   5372708      2.04     83876   6443100   9950528      3.75   3155016   8098952         8
11时41分32秒 251107684 256070332   5372696      2.04     83876   6443104   9950540      3.75   3155008   8098968         8
11时41分33秒 251107424 256070584   5372936      2.04     83884   6443108   9950540      3.75   3155016   8099480         8
11时41分34秒 251106660 256069288   5373728      2.04     83884   6443080   9950568      3.75   3154984   8099000        20
11时41分35秒 251105116 256067744   5375084      2.04     83884   6443244   9950888      3.75   3154992   8099020        20
11时41分36秒 251105124 256067752   5374956      2.04     83884   6443364   9950884      3.75   3154984   8099032        20
11时41分37秒 251105628 256068256   5374416      2.04     83884   6443400   9950896      3.75   3154992   8099080        20
11时41分38秒 251104876 256067512   5375132      2.04     83892   6443412   9950908      3.75   3154988   8099132         4
11时41分39秒 251105380 256068028   5374628      2.04     83892   6443432   9950932      3.75   3154992   8099404        12
11时41分40秒 251106372 256069020   5373648      2.04     83892   6443444   9950948      3.75   3154988   8099428        12
11时41分41秒 251105884 256068520   5374144      2.04     83892   6443452   9950956      3.75   3154996   8099424       660
11时41分42秒 251106616 256069252   5373400      2.04     83892   6443456   9950980      3.75   3154992   8099456        24
11时41分43秒 251105608 256068252   5374180      2.04     83900   6443676   9951200      3.75   3155004   8099460         0
11时41分44秒 251105716 256068360   5373944      2.04     83900   6443788   9951348      3.75   3155000   8099504         4
11时41分45秒 251106480 256069124   5373144      2.04     83900   6443824   9951352      3.75   3155008   8099496         8
11时41分46秒 251106212 256068860   5373404      2.04     83900   6443824   9951356      3.75   3155000   8099540         8
11时41分47秒 251105212 256067860   5374392      2.04     83900   6443828   9951364      3.75   3155004   8099544         8
11时41分48秒 251105708 256068364   5373876      2.04     83908   6443832   9951368      3.75   3155000   8099556        48
11时41分49秒 251106204 256068864   5373372      2.04     83908   6443832   9951372      3.75   3155012   8099904        12
11时41分50秒 251107196 256069856   5372380      2.04     83908   6443832   9951676      3.75   3155004   8099928        16
11时41分51秒 251105424 256068084   5373768      2.04     83908   6444216   9951776      3.75   3155016   8100024        16
11时41分52秒 251105592 256068252   5373576      2.04     83908   6444224   9951784      3.75   3155000   8100052        16
11时41分53秒 251105316 256067976   5373832      2.04     83924   6444228   9951796      3.75   3155012   8100052        80
11时41分54秒 251103536 256066212   5375576      2.04     83924   6444256   9951812      3.75   3155020   8100092         4
11时41分55秒 251103536 256066212   5375568      2.04     83924   6444264   9951828      3.75   3155032   8100100         8
11时41分56秒 251102512 256065192   5376584      2.04     83924   6444276   9951832      3.75   3155032   8100156        20
11时41分57秒 251104000 256066684   5375080      2.04     83924   6444276   9951956      3.75   3155040   8100212        20
11时41分58秒 251104488 256067172   5374392      2.04     83932   6444452   9952164      3.75   3155028   8100360        96
11时41分59秒 251104428 256067120   5374368      2.04     83932   6444536   9952172      3.75   3155048   8100444         4
11时42分00秒 251104628 256067324   5374148      2.04     83932   6444548   9952172      3.75   3155040   8100756         8
11时42分01秒 251105384 256068080   5373392      2.04     83932   6444548   9952172      3.75   3155044   8100764         8
11时42分02秒 251105196 256067892   5373636      2.04     83932   6444556   9952180      3.75   3155040   8100768         8
11时42分03秒 251104668 256067380   5374120      2.04     83932   6444576   9952184      3.75   3155052   8100752       184
11时42分04秒 251103140 256065860   5375624      2.04     83940   6444576   9952188      3.75   3155056   8100760         0
11时42分05秒 251102116 256064836   5376460      2.04     83940   6444756   9952432      3.75   3155056   8100776         4
11时42分06秒 251102776 256065488   5375856      2.04     83940   6444820   9952432      3.75   3155056   8100776         8
11时42分07秒 251102884 256065596   5375740      2.04     83940   6444828   9952436      3.75   3155064   8100780         8
11时42分08秒 251103380 256066092   5375220      2.04     83940   6444852   9952476      3.75   3155048   8100840         8
11时42分09秒 251099852 256062576   5378716      2.04     83948   6444872   9952480      3.75   3155072   8100868        36
11时42分10秒 251098844 256061600   5379696      2.04     83948   6444900   9952476      3.75   3155092   8101120       168
11时42分11秒 251099340 256062096   5379196      2.04     83948   6444904   9952504      3.75   3155104   8101116        20
11时42分12秒 251099860 256062620   5378468      2.04     83948   6445112   9952756      3.75   3155096   8101144        24
11时42分13秒 251098592 256061352   5379660      2.04     83948   6445188   9952792      3.75   3155100   8101144        24
11时42分14秒 251099748 256062508   5378456      2.04     83956   6445204   9952804      3.75   3155092   8100944        60
11时42分15秒 251098040 256060800   5380128      2.04     83956   6445208   9952812      3.75   3155100   8101164         4
11时42分16秒 251099552 256062312   5378604      2.04     83956   6445220   9952828      3.75   3155096   8101192         8
11时42分17秒 251100812 256063572   5377340      2.04     83956   6445224   9952832      3.75   3155104   8101188         8
11时42分18秒 251100048 256062836   5378076      2.04     83956   6445252   9952840      3.75   3155108   8101232       176
11时42分19秒 251099544 256062340   5378452      2.04     83964   6445372   9953208      3.75   3155136   8101288        68
11时42分20秒 251099788 256062600   5378064      2.04     83964   6445508   9953300      3.75   3155136   8101564         0
11时42分21秒 251100812 256063620   5376860      2.04     83964   6445696   9953296      3.75   3155144   8101836         8
11时42分22秒 251100100 256062908   5377556      2.04     83964   6445696   9953300      3.75   3155132   8101920         8
11时42分23秒 251099368 256062164   5378308      2.04     83964   6445700   9953308      3.75   3155140   8101924         8
11时42分24秒 251098352 256061156   5379304      2.04     83972   6445704   9953312      3.75   3155144   8101928        36
11时42分25秒 251098848 256061644   5378808      2.04     83972   6445696   9953316      3.75   3155144   8101920        44
11时42分26秒 251099076 256061872   5378564      2.04     83972   6445696   9953500      3.75   3155136   8101952        44
11时42分27秒 251098816 256061612   5378600      2.04     83972   6445912   9953572      3.75   3155144   8101948        44
