Linux 5.11.0-36-generic (pwmoose-PowerEdge-T640) 	2021年09月25日 	_x86_64_	(40 CPU)

15时03分36秒 kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
15时05分59秒 216655368 215870608  45832360     17.39     44008    847108  64169216     24.15    221240  45834804       212
15时06分00秒 216651340 215866580  45835380     17.39     44008    848196  64171152     24.15    221232  45840920       212
15时06分01秒 216610596 215825840  45875184     17.40     44016    849128  64213332     24.17    221248  45881728       236
15时06分02秒 216571280 215786524  45912844     17.42     44016    850784  64255836     24.18    221248  45920844       236
15时06分03秒 216566744 215781988  45917232     17.42     44016    850956  64256064     24.18    221256  45926944       236
15时06分04秒 216514612 215729856  45969268     17.44     44016    851044  64308024     24.20    221248  45977880       236
15时06分05秒 216513856 215729100  45969796     17.44     44016    851272  64308028     24.20    221252  45979380       236
15时06分06秒 216509728 215725000  45973724     17.44     44024    851360  64308028     24.20    221248  45979656       236
15时06分07秒 216509232 215724508  45974220     17.44     44024    851360  64308044     24.20    221260  45979652       236
15时06分08秒 216508492 215723768  45974952     17.44     44024    851384  64308052     24.20    221256  45979656       188
15时06分09秒 231843724 231059004  30639664     11.62     44024    851384  33687648     12.68    221264  30646200       188
15时06分10秒 231844976 231060256  30638412     11.62     44024    851384  33687648     12.68    221252  30646212       188
15时06分11秒 231845024 231060304  30638412     11.62     44032    851384  33687648     12.68    221264  30646196       192
15时06分12秒 231653080 230867860  30830340     11.70     44032    851384  33883304     12.75    221264  30840740       192
15时06分13秒 231015260 230230544  31468168     11.94     44032    851384  34526172     13.00    221272  31482336       192
15时06分14秒 230249684 229464968  32233736     12.23     44032    851384  35299580     13.29    221252  32254672       192
15时06分15秒 229047912 228263196  33435524     12.68     44032    851384  36527016     13.75    221268  33467676       192
15时06分16秒 227585264 226800548  34898136     13.24     44032    851384  38007208     14.31    221264  34926560       192
15时06分17秒 226092200 225307488  36391192     13.81     44040    851384  39526332     14.88    221280  36421956       192
15时06分18秒 224650176 223865464  37833124     14.35     44040    851384  40996608     15.43    221272  37859508         8
15时06分19秒 223282044 222497332  39201240     14.87     44040    851384  42398804     15.96    221280  39227056        12
15时06分20秒 221979400 221194696  40503932     15.37     44040    851384  43737024     16.46    221268  40528704        12
15时06分21秒 220701548 219916844  41781800     15.85     44040    851384  45046048     16.95    221276  41799404        12
15时06分22秒 219472564 218687864  43010776     16.32     44048    851384  46307080     17.43    221280  43024568        28
15时06分23秒 218261844 217477148  44221484     16.78     44048    851388  47551872     17.90    221284  44236844        28
15时06分24秒 217073192 216288496  45410160     17.23     44048    851388  48774476     18.36    221280  45422172        32
15时06分25秒 215844072 215059376  46639280     17.69     44048    851388  50031924     18.83    221284  46651948        32
15时06分26秒 214663460 213878764  47819908     18.14     44048    851388  51243016     19.29    221280  47825948        32
15时06分27秒 213510096 212725404  48973184     18.58     44056    851388  52429832     19.73    221288  48977816        32
15时06分28秒 212334660 211549968  50148588     19.03     44056    851388  53642064     20.19    221284  50152392        32
15时06分29秒 211141304 210356612  51341992     19.48     44056    851388  54865660     20.65    221296  51344328        32
15时06分30秒 209995980 209211288  52487320     19.91     44056    851388  56036832     21.09    221284  52483888        32
15时06分31秒 208802728 208018036  53680548     20.37     44056    851388  57256828     21.55    221296  53675268        32
15时06分32秒 207638640 206853952  54844508     20.81     44064    851388  58451440     22.00    221296  54837384        32
15时06分33秒 206472888 205687696  56010260     21.25     44064    851388  59647364     22.45    221304  56001520        32
15时06分34秒 205299292 204514604  57183836     21.69     44064    851388  60851884     22.90    221296  57172476        32
15时06分35秒 204122404 203337720  58360668     22.14     44064    851388  62055768     23.36    221292  58346720        32
15时06分36秒 202991176 202206508  59491896     22.57     44064    851388  63211208     23.79    221296  59472372        32
15时06分37秒 201854428 201069764  60628632     23.00     44072    851388  64380128     24.23    221312  60609444        32
15时06分38秒 200684076 199899432  61798916     23.45     44072    851388  65586168     24.69    221304  61779048        32
15时06分39秒 199524888 198740244  62958204     23.88     44072    851388  66773844     25.13    221312  62933968        32
15时06分40秒 198337456 197552812  64145628     24.34     44072    851388  67992528     25.59    221292  64121768        32
15时06分41秒 197191376 196406732  65291708     24.77     44072    851388  69175648     26.04    221312  65265264        32
15时06分42秒 196067416 195282776  66415628     25.20     44080    851388  70327668     26.47    221308  66386772        32
15时06分43秒 194918360 194133720  67564744     25.63     44080    851388  71512196     26.92    221320  67535180        32
